Code;Facilities
0.14-04;
0.14-03;
0.14-01;
0.14-02;
0.12-03;Sit / stand desk
0.12-11;Sit / stand desk
0.12-12;Sit / stand desk
0.12-06;Sit / stand desk
0.12-01;Sit / stand desk
0.12-02;Sit / stand desk
2.06-03;Sit / stand desk
2.06-01;Sit / stand desk
2.06-04;
2.06-02;
2.06-08;Sit / stand desk
2.06-06;Sit / stand desk
2.06-07;Sit / stand desk
2.06-05;Sit / stand desk
2.06-09;Sit / stand desk
2.06-14;
2.06-12;Sit / stand desk
2.06-13;
2.06-11;Sit / stand desk
2.06-16;Sit / stand desk
2.06-15;Sit / stand desk
2.06-22;
2.06-20;Sit / stand desk
2.06-35;
2.06-33;
2.06-34;Sit / stand desk
2.06-32;
2.06-19;
2.06-17;Sit / stand desk
2.06-28;
2.06-27;Sit / stand desk
2.06-18;
2.06-31;Sit / stand desk
2.06-29;Sit / stand desk
2.06-24;
2.06-26;
2.02-05;Sit / stand desk
2.02-07;Sit / stand desk
2.02-06;Sit / stand desk
2.02-08;Sit / stand desk
2.02-01;
2.02-03;Sit / stand desk
2.02-02;Sit / stand desk
2.02-04;
2.02-13;Sit / stand desk
2.02-15;Sit / stand desk
2.02-22;Sit / stand desk
2.02-24;
2.02-23;Sit / stand desk
2.02-25;Sit / stand desk
2.02-17;
2.02-19;Sit / stand desk
2.02-16;Sit / stand desk
2.02-18;Sit / stand desk
2.02-12;
2.02-29;Sit / stand desk
2.02-28;
2.02-27;Sit / stand desk
2.02-26;Sit / stand desk
2.02-09;
2.02-21;
2.02-20;
2.02-14;
2.02-11;
2.02-10;Sit / stand desk
2.04-03;
2.04-04;
2.04-02;
2.04-01;
3.02-07;
3.02-21;
3.02-25;
3.02-29;
3.02-28;
3.04-18;
3.04-29;Sit / stand desk
3.04-21;Sit / stand desk
3.04-22;Sit / stand desk
3.04-25;Sit / stand desk
3.04-26;Sit / stand desk
3.04-20;
3.04-05;
3.04-06;
3.04-02;Sit / stand desk
3.04-01;Sit / stand desk
3.04-09;
3.04-10;
3.04-14;Sit / stand desk
3.04-13;
3.04-17;Sit / stand desk
3.04-19;Sit / stand desk
3.04-30;Sit / stand desk
3.04-08;
3.04-07;Sit / stand desk
3.04-04;
3.04-03;
3.04-16;
3.04-15;Sit / stand desk
3.04-12;Sit / stand desk
3.04-11;Sit / stand desk
3.04-28;
3.04-27;
3.04-24;Sit / stand desk
3.04-23;Sit / stand desk
3.04-32;
3.04-34;
3.04-33;Sit / stand desk
3.04-31;Sit / stand desk
3.02-05;
3.02-06;
3.02-13;
3.02-14;
3.02-31;Sit / stand desk
3.02-32;Sit / stand desk
3.02-19;Sit / stand desk
3.02-20;
3.02-01;
3.02-02;Sit / stand desk
3.02-24;Sit / stand desk
3.02-23;
3.02-11;
3.02-09;
3.02-27;Sit / stand desk
3.02-10;Sit / stand desk
3.02-12;
3.02-22;Sit / stand desk
3.02-30;Sit / stand desk
3.02-26;Sit / stand desk
3.02-16;Sit / stand desk
3.02-15;
3.02-08;Sit / stand desk
3.02-34;Sit / stand desk
3.02-33;Sit / stand desk
3.02-03;Sit / stand desk
3.02-04;
2.02-30;
2.20a-01;
2.21a-01;
3.06a-01;
3.12a-01;
0.12-07;Sit / stand desk
0.12-08;Sit / stand desk
0.12-04;
0.12-05;
0.12-09;
0.12-10;
